Region_name Time_period Cluseter_id Lon(deg) Lat(deg) Depth(km) Magnitude Year Month Day Hour Minute Second
CENTRAL_CHILE1 1995-1999 cluster_2 287.733 -33.56000 33 4.6 1998 6 23 21 54 2.5800
CENTRAL_CHILE1 1995-1999 cluster_2 287.58 -33.43100 33.9 4.6 1998 8 7 15 32 32.9100
CENTRAL_CHILE1 1995-1999 cluster_2 287.671 -33.42000 36.1 4.5 1998 8 7 16 28 33.4800
CENTRAL_CHILE1 1995-1999 cluster_2 287.89 -32.99100 76.6 4.6 1998 8 11 10 13 14.5400
CENTRAL_CHILE1 1995-1999 cluster_2 287.7 -33.46400 14.8 4.5 1998 9 6 7 57 35.4400
CENTRAL_CHILE1 1995-1999 cluster_2 287.951 -33.55500 46.1 4.7 1998 10 10 1 16 9.3200
CENTRAL_CHILE1 1995-1999 cluster_2 287.922 -33.51800 33 5.7 1998 10 10 4 12 8.7400
CENTRAL_CHILE1 1995-1999 cluster_2 287.797 -33.57900 33 4.5 1998 10 10 4 20 26.6400
CENTRAL_CHILE1 1995-1999 cluster_2 287.786 -33.76900 33 5. 1998 10 16 7 26 46.8900
CENTRAL_CHILE1 1995-1999 cluster_3 288.365 -34.21500 41.2 4.7 1995 3 15 9 53 49.1200
CENTRAL_CHILE1 1995-1999 cluster_3 288.031 -34.27500 33 4.5 1995 5 7 16 30 57.3600
CENTRAL_CHILE1 1995-1999 cluster_3 287.681 -33.91200 41.1 5.1 1995 6 29 1 27 2.8900
CENTRAL_CHILE1 1995-1999 cluster_3 287.671 -34.00200 39.5 4.8 1995 6 29 5 20 16.0800
CENTRAL_CHILE1 1995-1999 cluster_3 287.671 -33.98800 33 4.9 1995 7 1 9 14 53.9600
CENTRAL_CHILE1 1995-1999 cluster_3 287.658 -33.90400 33 4.9 1995 7 1 9 18 6.8800
CENTRAL_CHILE1 1995-1999 cluster_3 287.747 -33.96900 42.8 4.8 1995 7 4 17 7 10.9900
CENTRAL_CHILE1 1995-1999 cluster_3 287.609 -33.96700 33 4.8 1995 7 11 18 46 11.1200
CENTRAL_CHILE1 1995-1999 cluster_3 287.703 -34.16100 5 4.5 1995 8 20 18 46 1.0200
CENTRAL_CHILE1 1995-1999 cluster_3 287.937 -34.06900 33 4.6 1995 9 3 0 9 38.9400
CENTRAL_CHILE1 1995-1999 cluster_3 288.326 -33.97900 49.4 4.6 1995 10 22 4 12 25.3200
CENTRAL_CHILE2 1995-1999 cluster_1 288.328 -31.25600 10 4.6 1997 12 9 21 4 7.0100
CENTRAL_CHILE2 1995-1999 cluster_1 288.473 -30.99000 40 4.5 1997 12 10 15 45 48.3700
CENTRAL_CHILE2 1995-1999 cluster_1 288.464 -30.94600 62.4 4.6 1997 12 12 18 47 28.8200
CENTRAL_CHILE2 1995-1999 cluster_1 288.437 -30.92400 50 4.5 1998 1 6 16 1 33.7400
CENTRAL_CHILE2 1995-1999 cluster_1 288.235 -31.08200 47 4.6 1998 1 12 11 15 53.6100
CENTRAL_CHILE2 1995-1999 cluster_2 287.664 -31.67100 59.9 4.6 1998 10 26 0 11 0.6300
CENTRAL_CHILE2 1995-1999 cluster_2 287.813 -31.59000 33 4.6 1998 10 26 19 23 17.6500
CENTRAL_CHILE2 1995-1999 cluster_2 287.725 -31.80100 20 4.6 1998 10 30 23 8 30.5400
CENTRAL_CHILE2 1995-1999 cluster_2 287.75 -31.53500 10 4.7 1998 11 1 15 38 44.5100
CENTRAL_CHILE2 1995-1999 cluster_2 287.833 -31.86800 28.3 4.5 1998 11 1 16 34 59.6600
CENTRAL_CHILE2 1995-1999 cluster_2 287.935 -31.76300 26.4 4.5 1998 11 5 8 56 0.2700
CENTRAL_CHILE2 1995-1999 cluster_2 287.78 -31.24800 10 4.5 1998 11 7 21 19 34.7300
CENTRAL_CHILE2 1995-1999 cluster_2 287.473 -31.52700 33 4.7 1998 11 9 12 20 36.1200
CENTRAL_CHILE2 1995-1999 cluster_3 288.592 -31.74300 63.2 4.5 1997 7 22 13 45 0.1200
CENTRAL_CHILE2 1995-1999 cluster_3 288.98 -31.77900 72.1 4.6 1997 9 2 10 53 48.0100
CENTRAL_CHILE2 1995-1999 cluster_3 288.455 -31.73800 53.7 4.9 1997 9 24 22 6 56.4600
CENTRAL_CHILE2 1995-1999 cluster_3 288.379 -31.84400 50 4.6 1997 10 22 6 26 47.3000
CENTRAL_CHILE2 1995-1999 cluster_3 288.544 -32.09600 45.6 4.5 1997 10 25 20 59 1.3900
CENTRAL_CHILE3 1995-1999 cluster_1 288.61 -28.93900 33 5.8 1995 10 31 1 55 57.4300
CENTRAL_CHILE3 1995-1999 cluster_1 288.396 -28.95800 33 4.7 1995 10 31 2 7 54.5400
CENTRAL_CHILE3 1995-1999 cluster_1 288.583 -28.90600 19.9 6.7 1995 11 1 0 35 32.7000
CENTRAL_CHILE3 1995-1999 cluster_1 288.201 -29.00800 33 4.6 1995 11 1 0 59 12.2600
CENTRAL_CHILE3 1995-1999 cluster_1 288.303 -29.02400 33 4.6 1995 11 1 2 9 31.2700
CENTRAL_CHILE3 1995-1999 cluster_1 288.518 -28.93200 37.1 4.5 1995 11 1 2 35 45.3900
CENTRAL_CHILE3 1995-1999 cluster_2 288.478 -30.82600 55.8 4.5 1998 10 30 9 57 11.5800
CENTRAL_CHILE3 1995-1999 cluster_2 288.56 -30.86800 69.5 4.6 1998 11 8 9 23 55.1300
CENTRAL_CHILE3 1995-1999 cluster_2 288.281 -31.14400 25.1 4.5 1998 11 30 18 52 39.6300
CENTRAL_CHILE3 1995-1999 cluster_2 288.499 -30.83100 46.7 4.6 1998 12 16 10 21 21.0700
CENTRAL_CHILE3 1995-1999 cluster_2 288.624 -30.83800 60 4.7 1999 1 11 14 10 43.0400
CENTRAL_CHILE3 1995-1999 cluster_4 287.862 -31.62800 30.7 4.9 1995 4 27 22 1 53.2500
CENTRAL_CHILE3 1995-1999 cluster_4 288.037 -31.64000 31.7 5.1 1995 4 28 2 4 19.1800
CENTRAL_CHILE3 1995-1999 cluster_4 287.744 -31.65100 33 4.6 1995 4 29 6 54 49.0000
CENTRAL_CHILE3 1995-1999 cluster_4 288.116 -31.33000 27.7 4.6 1995 5 22 15 32 56.1200
CENTRAL_CHILE3 1995-1999 cluster_4 287.853 -31.61800 33 4.6 1995 6 6 6 49 33.3600
CENTRAL_CHILE3 1995-1999 cluster_4 287.894 -31.53000 10 4.7 1995 6 6 7 1 44.8700
CENTRAL_CHILE3 1995-1999 cluster_4 288.005 -31.63500 33 4.7 1995 6 6 8 24 17.9500
CENTRAL_CHILE3 1995-1999 cluster_4 287.953 -31.40900 33 4.6 1995 7 18 4 36 28.5600
CENTRAL_CHILE3 1995-1999 cluster_4 287.797 -31.57100 10 4.5 1995 8 31 6 31 47.9900
CENTRAL_CHILE4 1995-1999 cluster_2 288.702 -29.51000 50 4.9 1996 11 17 1 50 2.0900
CENTRAL_CHILE4 1995-1999 cluster_2 288.425 -29.94000 39.3 4.8 1997 1 4 11 21 45.2300
CENTRAL_CHILE4 1995-1999 cluster_2 288.598 -29.80900 33 4.7 1997 1 26 11 22 34.6700
CENTRAL_CHILE4 1995-1999 cluster_2 288.853 -29.81500 33 6.2 1997 3 9 11 43 43.2600
CENTRAL_CHILE4 1995-1999 cluster_2 288.856 -29.68100 33 5.6 1997 3 10 3 53 0.3300
CENTRAL_CHILE4 1995-1999 cluster_2 288.706 -29.75800 60 4.5 1997 3 12 12 8 14.8300
NICARAGUA 1995-1999 cluster_1 271.286 12.21700 33 4.6 1996 11 24 12 42 36.7400
NICARAGUA 1995-1999 cluster_1 271.074 12.51100 33 5.6 1996 12 10 16 3 2.6000
NICARAGUA 1995-1999 cluster_1 271.211 12.72700 33 5.7 1996 12 14 21 15 35.5300
NICARAGUA 1995-1999 cluster_1 271.115 12.62400 33 4.8 1996 12 17 10 30 1.7300
NICARAGUA 1995-1999 cluster_1 271.138 12.63800 33 4.8 1996 12 17 17 12 22.3500
NICARAGUA 1995-1999 cluster_1 271.077 12.47300 33 5.6 1996 12 17 20 20 33.3700
NICARAGUA 1995-1999 cluster_1 270.867 12.77500 25.3 4.6 1996 12 18 7 10 36.1400
NICARAGUA 1995-1999 cluster_1 271.101 11.99100 33 4.5 1996 12 19 13 44 45.2500
NICARAGUA 1995-1999 cluster_1 270.947 12.49000 50 4.9 1997 1 4 3 36 5.0500
NICARAGUA 1995-1999 cluster_1 271.118 12.69000 56.6 5. 1997 1 4 18 44 55.9000
NICARAGUA 1995-1999 cluster_1 271.093 12.38300 54 4.6 1997 1 8 23 15 54.4300
NICARAGUA 1995-1999 cluster_1 271.161 12.42300 33 4.7 1997 1 8 23 20 41.6500
NICARAGUA 1995-1999 cluster_2 272.035 12.10000 33 4.8 1995 5 13 17 31 19.6600
NICARAGUA 1995-1999 cluster_2 272.065 12.13600 51.7 4.9 1995 5 21 17 6 32.8700
NICARAGUA 1995-1999 cluster_2 271.32 12.37100 33 4.5 1995 6 13 12 13 25.7600
NICARAGUA 1995-1999 cluster_2 271.64 12.12800 25 5.7 1995 6 14 11 11 47.4000
NICARAGUA 1995-1999 cluster_2 271.661 12.11700 33 5.6 1995 6 14 11 15 4.2500
NICARAGUA 1995-1999 cluster_2 271.654 12.08600 15.5 4.7 1995 6 14 23 10 16.9300
NICARAGUA 1995-1999 cluster_2 271.508 11.98100 33 4.5 1995 6 15 2 47 19.9200
NICARAGUA 1995-1999 cluster_2 271.909 11.82600 33 4.5 1995 6 23 20 38 9.6300
NICARAGUA 1995-1999 cluster_2 271.726 12.03100 33 4.7 1995 7 20 19 30 0.3500
NICARAGUA 1995-1999 cluster_3 273.386 12.23400 10 5.2 1999 8 5 4 35 49.3200
NICARAGUA 1995-1999 cluster_3 273.283 12.56300 10 4.5 1999 8 5 4 50 55.1900
NICARAGUA 1995-1999 cluster_3 273.128 12.53000 10 4.5 1999 8 5 5 39 45.8200
NICARAGUA 1995-1999 cluster_3 273.308 12.62900 10 4.5 1999 8 5 5 56 12.7900
NICARAGUA 1995-1999 cluster_3 273.276 12.34300 10 5.1 1999 8 5 7 11 15.7400
